
1444234889.301:  AA AA 04 80 02 FF DD A1
1444234889.301:  AA AA 04 80 02 FF BF BF
1444234889.301:  AA AA 04 80 02 FF FD
1444234889.317:  81
1444234889.317:  AA AA 04 80 02 FF B4 CA
1444234889.317:  AA AA 04 80 02 FF 7F FF
1444234889.317:  AA AA 04 80 02 FF EC 92
1444234889.317:  AA AA 04 80 02 FF F4 8A
1444234889.317:  AA AA 04
1444234889.317:  80 02 FF DC A2
1444234889.317:  AA AA 04 80 02 FF CF AF
1444234889.317:  AA AA 04 80 02 FF 6B 13
1444234889.317:  AA AA 04 80 02 FF 9D E1
1444234889.317:  AA AA 04
1444234889.317:  80 02 FF CE
1444234889.332:  B0
1444234889.332:  AA AA 04 80 02 FF 59 25
1444234889.332:  AA AA 04 80 02 FF 69 15
1444234889.332:  AA AA 04 80 02 FF BF BF
1444234889.332:  AA AA 04 80 02 FF C4 BA
1444234889.332:  AA AA 04
1444234889.332:  80 02 FF ED 91
1444234889.332:  AA AA 04 80 02 FF C6 B8
1444234889.332:  AA AA 04 80 02 FF 97 E7
1444234889.332:  AA AA 04 80 02 00 27 56
1444234889.332:  AA AA 04 80 02 00 3B
1444234889.348:  42
1444234889.348:  AA AA 04 80 02 FF DE A0
1444234889.348:  AA AA 04 80 02 FF F4 8A
1444234889.348:  AA AA 04 80 02 FF E5 99
1444234889.348:  AA AA 04 80 02 FF F7 87
1444234889.348:  AA AA 04
1444234889.348:  80 02 00 29 54
1444234889.348:  AA AA 04 80 02 FF B7 C7
1444234889.364:  AA AA 04 80 02 FF 98 E6
1444234889.364:  AA AA 04 80 02 FF F4 8A
1444234889.364:  AA AA 04 80 02 FF C6
1444234889.364:  B8
1444234889.364:  AA AA 04 80 02 FF C6 B8
1444234889.364:  AA AA 04 80 02 FF EE 90
1444234889.364:  AA AA 04 80 02 FF D8 A6
1444234889.364:  AA AA 04 80 02 00 14 69
1444234889.364:  AA AA 04
1444234889.379:  80 02 00 04 79
1444234889.379:  AA AA 04 80 02 FF 84 FA
1444234889.379:  AA AA 04 80 02 FF AF CF
1444234889.379:  AA AA 04 80 02 FF E7 97
1444234889.379:  AA AA 04 80 02 FF BA
1444234889.379:  C4
1444234889.379:  AA AA 04 80 02 FF E9 95
1444234889.379:  AA AA 04 80 02 FF D8 A6
1444234889.379:  AA AA 04 80 02 FF D8 A6
1444234889.379:  AA AA 04 80 02 00 31 4C
1444234889.379:  AA AA 04
1444234889.395:  80 02 FF E8 96
1444234889.395:  AA AA 04 80 02 FF A8 D6
1444234889.395:  AA AA 04 80 02 FF ED 91
1444234889.395:  AA AA 04 80 02 FF DF 9F
1444234889.395:  AA AA 04 80 02 FF DA
1444234889.395:  A4
1444234889.395:  AA AA 04 80 02 FF F9 85
1444234889.395:  AA AA 04 80 02 FF B9 C5
1444234889.395:  AA AA 04 80 02 FF ED 91
1444234889.395:  AA AA 04 80 02 00 2B 52
1444234889.395:  AA AA 04
