H:M:S.f Gyro(x) Gyro(y) F3 FC5 AF3 F7 T7 P7 O1 O2 P8 T8 F8 AF4 FC6 F4
14:45:08.861315 2044 2042 2124.2367 2136.4614 2113.3125 2130.9993 2051.1486 2123.7165 2123.7165 2138.8023 2136.7215 2137.7619 2136.2013 2141.6634 2141.6634 2132.0397 
14:45:08.869328 2041 2040 2129.1786 2152.3275 2119.815 2148.6861 2071.9566 2141.4033 2141.6634 2154.4083 2148.6861 2162.4714 2157.5295 2154.4083 2159.6103 2135.1609 
14:45:08.877425 2043 2040 2117.9943 2149.2063 2112.5322 2141.6634 2068.8354 2140.1028 2145.3048 2156.229 2149.7265 2155.1886 2151.8073 2151.8073 2161.431 2137.7619 
14:45:08.885392 2041 2041 2129.9589 2160.3906 2115.6534 2152.0674 2070.396 2149.2063 2153.628 2171.835 2162.9916 2163.5118 2161.431 2167.4133 2176.2567 2133.8604 
14:45:08.893308 2043 2041 2135.1609 2153.8881 2117.7342 2152.3275 2064.1536 2142.9639 2145.825 2164.5522 2152.3275 2164.2921 2154.9285 2158.0497 2165.0724 2139.3225 
14:45:08.901306 2042 2041 2129.6988 2147.1255 2118.2544 2150.7669 2065.194 2143.7442 2151.5472 2165.5926 2156.4891 2170.7946 2147.9058 2151.2871 2159.6103 2144.2644 
14:45:08.909419 2043 2041 2112.5322 2133.0801 2111.2317 2132.82 2048.8077 2128.9185 2139.0624 2154.1482 2153.3679 2148.9462 2137.2417 2142.7038 2153.628 2145.5649 
14:45:08.917396 2044 2040 2109.411 2127.3579 2113.3125 2126.3175 2039.4441 2120.8554 2129.4387 2132.5599 2136.9816 2127.8781 2124.4968 2129.6988 2136.9816 2140.3629 
14:45:08.924308 2044 2041 2105.5095 2122.6761 2110.7115 2124.2367 2037.1032 2117.9943 2129.6988 2126.3175 2127.3579 2135.421 2114.8731 2121.1155 2122.9362 2136.4614 
14:45:08.932305 2045 2040 2102.6484 2112.5322 2111.7519 2111.7519 2030.3406 2109.1509 2127.0978 2123.4564 2129.6988 2135.9412 2107.5903 2119.5549 2116.4337 2139.8427 
14:45:08.940433 2044 2040 2096.6661 2114.613 2111.7519 2114.613 2036.3229 2110.9716 2127.0978 2118.5145 2132.2998 2125.2771 2104.9893 2116.6938 2112.5322 2135.421 
14:45:08.948391 2044 2040 2092.5045 2111.7519 2108.6307 2112.2721 2035.2825 2108.1105 2120.0751 2107.5903 2119.2948 2105.2494 2096.1459 2109.6711 2102.6484 2131.2594 
14:45:08.956312 2042 2041 2102.9085 2107.3302 2112.2721 2098.7469 2026.6992 2096.406 2104.7292 2099.7873 2104.7292 2088.3429 2095.1055 2113.5726 2103.1686 2132.2998 
14:45:08.964307 2043 2041 2112.2721 2115.6534 2121.1155 2104.4691 2037.3633 2099.2671 2103.1686 2102.6484 2105.2494 2094.8454 2104.209 2117.214 2109.411 2140.8831 
14:45:08.972946 2044 2041 2112.2721 2116.1736 2127.0978 2112.2721 2049.8481 2106.81 2111.2317 2109.6711 2117.4741 2109.9312 2106.0297 2115.1332 2112.2721 2136.7215 
14:45:08.980375 2045 2042 2112.7923 2114.613 2119.5549 2111.2317 2050.8885 2105.2494 2109.411 2115.3933 2121.3756 2107.0701 2114.8731 2125.2771 2124.2367 2137.7619 
14:45:08.987333 2044 2042 2121.3756 2128.3983 2119.815 2123.7165 2060.7723 2116.6938 2119.2948 2128.1382 2125.2771 2117.214 2128.9185 2137.2417 2134.9008 2137.2417 
14:45:08.995336 2045 2041 2115.1332 2137.2417 2117.214 2138.2821 2075.8581 2133.8604 2139.8427 2145.0447 2138.5422 2144.7846 2130.219 2136.2013 2134.6407 2141.6634 
14:45:09.004030 2044 2041 2116.1736 2140.8831 2118.2544 2147.1255 2090.1636 2140.8831 2147.9058 2157.5295 2150.7669 2157.7896 2136.4614 2144.7846 2144.5245 2137.7619 
14:45:09.011387 2046 2042 2110.9716 2131.2594 2107.8504 2142.9639 2079.4995 2130.4791 2134.1205 2136.9816 2132.2998 2129.4387 2127.0978 2134.3806 2130.7392 2137.5018 
14:45:09.019390 2044 2043 2114.3529 2151.5472 2108.6307 2164.2921 2091.4641 2151.027 2151.027 2153.1078 2143.4841 2140.3629 2142.7038 2144.0043 2140.1028 2135.1609 
14:45:09.027334 2043 2042 2111.7519 2155.7088 2109.9312 2157.2694 2090.6838 2148.6861 2147.9058 2161.431 2150.2467 2148.9462 2144.5245 2149.2063 2145.0447 2141.6634 
14:45:09.035772 2044 2042 2121.6357 2160.6507 2117.9943 2159.6103 2099.007 2149.7265 2150.2467 2163.5118 2154.4083 2158.0497 2153.1078 2158.0497 2154.9285 2138.022 
14:45:09.043347 2043 2042 2121.6357 2146.0851 2116.6938 2151.2871 2089.1232 2145.0447 2148.1659 2152.5876 2146.3452 2154.1482 2146.8654 2150.5068 2148.1659 2136.9816 
