 sampling:128, subject:ethan                                                                           , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4 RAW_CQ GYROX GYROY MARKER MARKER_HARDWARE SYNC TIME_STAMP_s TIME_STAMP_ms CQ_AF3 CQ_F7 CQ_F3 CQ_FC5 CQ_T7 CQ_P7 CQ_O1 CQ_O2 CQ_P8 CQ_T8 CQ_FC6 CQ_F4 CQ_F8 CQ_AF4 CQ_CMS CQ_DRL, chan:40, units:emotiv,,,,,,,,,
3085.640869,3176.923096,2904.102539,3976.923096,3169.743408,4021.025635,4193.333008,4191.794922,3482.05127,3330.256348,3921.53833,3257.435791,3122.05127,3862.05127
3096.410156,3206.666504,2914.871826,3981.53833,3191.281982,4023.076904,4194.871582,4188.717773,3492.307617,3343.5896,3930.256348,3274.358887,3147.692139,3871.281982
3095.384521,3231.281982,2920,3980,3226.666504,4027.692139,4200,4185.641113,3502.05127,3367.692139,3933.333252,3287.179443,3172.820557,3877.435791
3065.640869,3223.5896,2907.179443,3971.281982,3223.5896,4026.153809,4202.563965,4188.205078,3497.435791,3366.666504,3918.461426,3282.05127,3170.256348,3869.743408
3086.666504,3253.333252,2930.769043,3977.94873,3237.94873,4027.692139,4200.512695,4191.281738,3510.769043,3384.615234,3923.076904,3309.743408,3200.512695,3885.640869
3141.53833,3320,2980,3995.897217,3301.53833,4034.871582,4197.436035,4190.256348,3554.358887,3441.025635,3950.769043,3362.563965,3260,3906.153809
3167.692139,3368.717773,3018.461426,4005.128174,3347.179443,4040,4198.461426,4189.230469,3599.487061,3492.820313,3980,3406.666504,3309.230713,3913.333252
3161.53833,3376.410156,3022.563965,4000.512695,3336.923096,4042.563965,4204.615234,4190.256348,3590.769043,3495.384521,3981.025635,3414.358887,3322.05127,3913.333252
3151.794678,3371.281982,3004.102539,3992.820313,3328.717773,4041.53833,4207.179199,4190.769043,3565.128174,3484.615234,3964.615234,3404.102539,3314.358887,3912.307617
3137.435791,3369.230713,2993.333252,3985.640869,3326.153809,4036.923096,4202.05127,4192.307617,3565.128174,3477.94873,3956.410156,3400.512695,3311.281982,3906.153809
3147.692139,3392.820313,3013.846191,3986.666504,3336.923096,4039.487061,4197.94873,4190.769043,3588.717773,3488.717773,3963.5896,3421.025635,3341.025635,3912.307617
3137.94873,3395.384521,3004.615234,3982.05127,3335.897461,4042.563965,4199.487305,4189.743652,3591.281982,3489.743408,3948.717773,3417.435791,3344.615234,3905.128174
3119.487061,3391.281982,2988.205078,3978.461426,3331.794678,4042.05127,4198.974121,4190.769043,3592.820313,3489.743408,3937.94873,3414.871826,3336.410156,3905.128174
3164.615234,3446.153809,3032.307617,3995.384521,3381.025635,4044.615234,4196.922852,4190.769043,3632.307617,3536.923096,3970.256348,3463.5896,3391.794678,3934.871582
3228.205078,3521.53833,3087.179443,4013.333252,3449.230713,4048.205078,4197.436035,4190.769043,3677.435791,3607.179443,4003.5896,3520,3464.102539,3956.410156
3222.563965,3535.384521,3091.281982,4006.153809,3449.230713,4048.205078,4196.922852,4192.307617,3687.179443,3627.692139,4001.025635,3530.256348,3478.461426,3946.666504
