 sampling:128, subject:ERIK                                                                            , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4 RAW_CQ GYROX GYROY MARKER MARKER_HARDWARE SYNC TIME_STAMP_s TIME_STAMP_ms CQ_AF3 CQ_F7 CQ_F3 CQ_FC5 CQ_T7 CQ_P7 CQ_O1 CQ_O2 CQ_P8 CQ_T8 CQ_FC6 CQ_F4 CQ_F8 CQ_AF4 CQ_CMS CQ_DRL, chan:40, units:emotiv,,,,,,,,,
4120,4116.410156,4197.94873,4193.846191,4175.897461,4197.94873,4195.384277,4194.871582,4176.410156,4174.358887,4189.743652,4084.615234,4175.897461,4193.333008
4097.94873,4085.128174,4195.384277,4193.846191,4163.589844,4197.94873,4193.846191,4196.410156,4163.589844,4150.256348,4184.102539,4086.153809,4162.05127,4192.820313
4083.5896,4055.384521,4194.871582,4196.410156,4154.358887,4194.871582,4195.897461,4194.358887,4148.717773,4132.820313,4184.615234,4086.666504,4153.846191,4194.871582
4086.666504,4058.974365,4198.461426,4196.410156,4156.922852,4194.358887,4198.974121,4193.846191,4152.307617,4143.589844,4190.256348,4084.615234,4158.974121,4195.897461
4097.436035,4066.153809,4198.461426,4195.897461,4158.974121,4196.410156,4194.871582,4196.922852,4156.410156,4157.94873,4191.794922,4084.102539,4157.94873,4194.871582
4098.974121,4060.512695,4194.871582,4196.410156,4158.461426,4192.820313,4191.281738,4196.922852,4151.281738,4151.794922,4188.717773,4086.153809,4154.871582,4196.410156
4095.384521,4059.487061,4197.436035,4197.436035,4159.487305,4192.820313,4197.436035,4194.871582,4147.692383,4140,4186.666504,4086.153809,4159.487305,4197.436035
4103.589844,4080.512695,4197.94873,4193.846191,4163.589844,4193.333008,4198.974121,4196.922852,4158.461426,4160.512695,4190.256348,4084.615234,4167.179199,4196.922852
4115.897461,4091.281982,4198.974121,4196.922852,4167.692383,4194.871582,4197.436035,4197.436035,4164.615234,4175.897461,4190.769043,4083.5896,4164.102539,4196.922852
4123.07666,4107.692383,4193.333008,4196.922852,4172.820313,4192.820313,4194.871582,4195.384277,4166.666504,4172.307617,4189.743652,4085.640869,4166.666504,4198.461426
4117.94873,4110.769043,4197.94873,4197.94873,4173.846191,4195.897461,4200,4196.922852,4164.102539,4164.615234,4187.692383,4084.615234,4170.256348,4197.436035
4122.563965,4129.743652,4197.94873,4195.384277,4177.436035,4194.358887,4195.384277,4199.487305,4172.307617,4175.897461,4187.179199,4083.076904,4174.871582,4196.410156
4124.615234,4124.615234,4200,4198.974121,4176.922852,4194.871582,4194.871582,4198.461426,4175.384277,4173.333008,4188.717773,4082.563965,4171.794922,4198.461426
4121.538574,4117.436035,4194.358887,4197.436035,4175.897461,4194.358887,4194.871582,4195.897461,4174.358887,4167.179199,4191.281738,4083.076904,4171.794922,4198.461426
4115.897461,4115.897461,4197.436035,4198.461426,4175.897461,4196.922852,4201.538574,4195.897461,4169.230469,4165.641113,4188.717773,4084.615234,4169.743652,4195.384277
4121.025391,4130.769043,4193.333008,4195.897461,4180.512695,4195.384277,4198.974121,4195.897461,4177.94873,4183.07666,4186.153809,4083.5896,4172.820313,4195.897461
4124.615234,4118.974121,4198.461426,4196.410156,4179.487305,4196.922852,4198.461426,4195.897461,4180.512695,4190.256348,4188.717773,4080.512695,4172.820313,4198.461426
4129.743652,4121.025391,4199.487305,4195.897461,4177.94873,4197.436035,4198.461426,4195.897461,4179.487305,4189.230469,4191.794922,4083.5896,4174.871582,4197.94873
4127.179199,4122.563965,4197.94873,4200.512695,4176.922852,4199.487305,4197.94873,4195.897461,4178.974121,4187.179199,4189.230469,4087.179443,4171.794922,4196.922852
4128.205078,4127.179199,4193.846191,4198.974121,4178.974121,4197.436035,4192.820313,4194.871582,4182.05127,4193.846191,4187.692383,4084.615234,4169.230469,4196.410156
4131.281738,4123.07666,4198.974121,4195.897461,4179.487305,4194.871582,4196.410156,4196.922852,4178.974121,4182.563965,4189.743652,4083.076904,4172.820313,4197.436035
4131.281738,4122.05127,4200,4195.384277,4177.94873,4191.281738,4197.94873,4196.922852,4174.358887,4171.794922,4189.230469,4081.53833,4176.410156,4197.94873
4128.717773,4125.12793,4197.94873,4196.922852,4177.94873,4191.794922,4193.333008,4193.846191,4172.307617,4187.179199,4187.179199,4083.5896,4174.358887,4198.461426
4131.281738,4128.717773,4200,4197.436035,4175.897461,4194.358887,4193.333008,4194.358887,4174.871582,4181.025391,4188.205078,4085.128174,4170.256348,4197.94873
4121.538574,4112.307617,4198.974121,4194.358887,4170.769043,4192.307617,4197.436035,4196.922852,4175.897461,4150.769043,4189.230469,4081.53833,4168.717773,4196.922852
4099.487305,4074.871582,4200,4193.333008,4165.641113,4193.846191,4197.94873,4194.871582,4160,4147.692383,4187.179199,4076.923096,4158.461426,4193.846191
4092.820313,4064.615234,4195.897461,4192.307617,4162.563965,4194.871582,4193.846191,4193.333008,4154.871582,4171.281738,4188.205078,4081.025635,4150.769043,4194.358887
