# H:M:S.f Gyro(x) Gyro(y) F3 FC5 AF3 F7 T7 P7 O1 O2 P8 T8 F8 AF4 FC6 F4
14:35:23.399391 2046 2039 2131.7796 2130.9993 2131.2594 2130.9993 2128.9185 2122.1559 2125.7973 2130.219 2132.82 2135.1609 2132.5599 2134.3806 2158.5699 2504.5029 
14:35:23.407429 2048 2039 2132.82 2130.219 2132.0397 2130.9993 2129.9589 2125.017 2127.0978 2130.219 2132.0397 2135.9412 2132.2998 2134.1205 2157.5295 2501.3817 
14:35:23.415423 2048 2037 2133.0801 2131.5195 2132.82 2130.9993 2128.3983 2130.4791 2127.8781 2130.219 2132.82 2134.9008 2132.2998 2134.9008 2159.0901 2501.6418 
14:35:23.422425 2042 2036 2132.0397 2130.9993 2132.0397 2131.2594 2128.3983 2134.9008 2128.6584 2131.7796 2134.3806 2134.1205 2133.6003 2135.6811 2161.1709 2503.7226 
14:35:23.430427 2044 2037 2131.2594 2129.4387 2133.3402 2131.5195 2129.9589 2135.9412 2130.4791 2134.1205 2134.6407 2134.6407 2133.6003 2136.2013 2159.8704 2503.9827 
14:35:23.438425 2044 2038 2133.0801 2131.5195 2133.0801 2129.4387 2130.219 2133.0801 2131.7796 2132.82 2132.82 2134.9008 2133.0801 2138.022 2160.3906 2503.9827 
14:35:23.446427 2045 2038 2132.5599 2133.3402 2130.9993 2130.219 2132.5599 2127.618 2133.8604 2132.2998 2132.5599 2134.9008 2135.6811 2139.3225 2161.431 2500.8615 
14:35:23.454429 2046 2038 2133.8604 2133.0801 2129.6988 2129.6988 2133.8604 2126.8377 2130.9993 2131.7796 2133.0801 2134.3806 2135.421 2139.3225 2162.2113 2508.6645 
14:35:23.462427 2046 2038 2133.0801 2133.3402 2131.5195 2131.2594 2134.1205 2129.9589 2132.2998 2131.7796 2133.0801 2133.3402 2132.2998 2138.5422 2162.2113 2509.7049 
14:35:23.470427 2045 2037 2133.8604 2133.3402 2131.5195 2129.6988 2131.7796 2133.6003 2129.6988 2131.7796 2132.82 2134.1205 2131.5195 2138.5422 2163.7719 2511.0054 
14:35:23.478426 2044 2037 2131.5195 2133.3402 2132.5599 2132.0397 2133.6003 2135.421 2132.2998 2134.3806 2133.6003 2134.9008 2130.7392 2134.9008 2162.2113 2507.364 
14:35:23.485426 2045 2039 2133.8604 2132.82 2130.9993 2130.219 2130.9993 2134.6407 2129.1786 2134.3806 2132.5599 2134.9008 2129.1786 2133.6003 2162.2113 2512.566 
14:35:23.493426 2046 2038 2130.9993 2132.2998 2131.7796 2129.6988 2131.2594 2129.1786 2130.219 2132.2998 2132.2998 2134.9008 2129.9589 2130.4791 2159.6103 2506.5837 
14:35:23.501446 2046 2037 2131.5195 2131.5195 2133.0801 2128.6584 2130.9993 2125.5372 2127.618 2130.7392 2134.6407 2135.9412 2132.2998 2131.5195 2157.2694 2505.2832 
14:35:23.509437 2047 2038 2130.7392 2132.5599 2132.82 2131.7796 2132.5599 2127.3579 2128.6584 2133.0801 2135.6811 2135.421 2130.9993 2130.9993 2157.0093 2500.3413 
